id,user_id,transaction_date,transaction_type,amount,subscription_tier,status
39,9,"2025-02-05 00:03:55",mrr,99.00,professional,completed
40,9,"2025-07-09 10:45:55",mrr,99.00,professional,completed
41,9,"2025-11-13 03:06:47",refund,-49.00,professional,pending
42,10,"2025-06-16 10:49:39",mrr,29.00,starter,completed
43,10,"2024-03-11 17:36:04",refund,-23.00,starter,completed
44,10,"2024-02-24 06:48:25",mrr,29.00,starter,completed
45,10,"2025-11-07 06:57:16",refund,-20.00,starter,pending
46,11,"2025-06-16 18:37:59",mrr,0.00,free,completed
47,11,"2025-09-29 02:11:28",one_time,24.00,free,completed
48,11,"2024-05-26 17:11:21",mrr,0.00,free,completed
49,11,"2024-10-03 17:24:35",mrr,0.00,free,failed
50,11,"2024-11-23 20:52:32",mrr,0.00,free,pending
51,11,"2024-12-02 03:55:35",mrr,0.00,free,failed
52,11,"2024-06-05 09:50:14",mrr,0.00,free,pending
53,11,"2024-03-15 08:13:51",mrr,0.00,free,completed
54,12,"2025-08-17 14:33:11",one_time,81.00,enterprise,completed
55,12,"2025-09-29 17:57:24",mrr,299.00,enterprise,pending
56,12,"2025-07-31 05:40:27",one_time,166.00,enterprise,failed
57,13,"2025-11-26 10:58:13",mrr,0.00,free,completed
58,13,"2025-11-24 01:19:54",one_time,13.00,free,failed
59,13,"2025-11-28 12:27:37",mrr,0.00,free,failed
60,13,"2025-11-24 20:28:18",one_time,24.00,free,completed
61,13,"2025-11-21 22:38:30",mrr,0.00,free,completed
62,13,"2025-11-25 13:07:14",mrr,0.00,free,pending
63,13,"2025-11-24 03:52:08",mrr,0.00,free,completed
64,13,"2025-11-22 01:39:58",mrr,0.00,free,completed
65,14,"2024-09-15 19:08:30",mrr,99.00,professional,completed
66,14,"2025-10-12 04:19:10",refund,-83.00,professional,completed
67,14,"2025-10-29 09:58:59",one_time,37.00,professional,completed
68,14,"2025-09-14 15:03:38",one_time,18.00,professional,failed
69,14,"2025-01-02 00:06:50",one_time,18.00,professional,completed
70,14,"2025-08-25 17:27:13",one_time,64.00,professional,failed
71,14,"2025-06-23 15:14:11",one_time,487.00,professional,pending
72,15,"2025-05-15 15:34:38",refund,-236.00,enterprise,pending
73,15,"2025-11-09 12:09:09",refund,-183.00,enterprise,completed
74,15,"2025-04-15 06:56:11",one_time,382.00,enterprise,completed
75,15,"2025-11-28 17:22:37",mrr,299.00,enterprise,completed
76,15,"2024-06-25 19:29:23",one_time,348.00,enterprise,completed
77,16,"2024-02-05 13:19:34",one_time,267.00,enterprise,completed
78,16,"2023-08-23 23:48:30",refund,-140.00,enterprise,completed
79,16,"2024-09-16 00:16:33",refund,-178.00,enterprise,completed
80,16,"2025-04-07 14:48:34",mrr,299.00,enterprise,completed
81,16,"2023-10-13 13:38:15",refund,-127.00,enterprise,completed
82,16,"2025-07-13 19:34:27",one_time,487.00,enterprise,completed
83,16,"2025-09-17 04:37:58",mrr,299.00,enterprise,completed
84,17,"2024-11-06 12:43:47",mrr,29.00,starter,completed
85,17,"2025-09-03 22:25:39",one_time,426.00,starter,completed
86,17,"2024-10-26 12:46:05",refund,-28.00,starter,completed
87,17,"2025-05-26 19:41:08",mrr,29.00,starter,completed
88,17,"2025-02-08 21:38:00",one_time,417.00,starter,completed
89,17,"2024-12-26 05:09:25",one_time,62.00,starter,pending
90,18,"2025-03-23 07:10:23",refund,-10.00,professional,completed
91,18,"2023-12-15 06:06:24",mrr,99.00,professional,completed
92,18,"2025-07-10 12:48:30",one_time,200.00,professional,pending
93,18,"2025-08-31 21:22:04",mrr,99.00,professional,completed
94,18,"2025-09-19 20:23:34",mrr,99.00,professional,completed
95,18,"2024-11-25 04:09:20",refund,-11.00,professional,completed
96,18,"2025-02-20 20:38:40",mrr,99.00,professional,failed
97,18,"2024-09-05 03:57:52",refund,-62.00,professional,completed
98,19,"2023-08-05 02:56:30",mrr,0.00,free,completed
99,19,"2023-09-06 00:52:09",mrr,0.00,free,completed
100,19,"2025-02-11 23:49:27",mrr,0.00,free,completed
101,19,"2025-02-16 09:08:10",mrr,0.00,free,completed
102,19,"2024-08-20 21:58:14",mrr,0.00,free,completed
103,19,"2023-11-03 00:01:47",mrr,0.00,free,completed
104,19,"2024-08-28 23:27:06",one_time,19.00,free,completed
105,19,"2024-10-21 03:39:48",one_time,17.00,free,completed
106,20,"2025-11-05 02:49:58",one_time,148.00,starter,completed
107,20,"2025-05-27 18:10:48",refund,-21.00,starter,completed
108,20,"2025-11-24 00:09:26",one_time,25.00,starter,completed
109,21,"2025-01-04 07:36:43",mrr,29.00,starter,completed
110,21,"2025-04-28 02:04:05",refund,-19.00,starter,completed
111,21,"2025-04-26 10:00:43",one_time,473.00,starter,failed
112,21,"2024-04-15 02:23:58",mrr,29.00,starter,completed
113,21,"2025-08-09 00:53:04",one_time,180.00,starter,completed
114,21,"2023-12-17 03:36:32",one_time,374.00,starter,pending
115,21,"2024-10-06 20:15:59",one_time,249.00,starter,completed
116,21,"2024-08-31 09:21:27",refund,-12.00,starter,failed
117,22,"2025-11-19 20:41:02",mrr,99.00,professional,pending
118,22,"2025-10-22 22:10:53",refund,-91.00,professional,completed
119,22,"2025-10-25 21:42:52",one_time,279.00,professional,completed
120,22,"2025-11-08 05:24:18",one_time,47.00,professional,pending
121,22,"2025-10-23 02:40:13",mrr,99.00,professional,completed
122,22,"2025-11-22 17:56:25",one_time,278.00,professional,pending
123,22,"2025-10-11 07:09:05",one_time,229.00,professional,completed
124,22,"2025-11-30 21:10:50",mrr,99.00,professional,completed
125,23,"2024-12-02 05:30:20",mrr,0.00,free,completed
126,23,"2025-05-10 08:32:05",mrr,0.00,free,failed
127,23,"2024-09-20 04:28:05",mrr,0.00,free,completed
128,23,"2024-08-13 08:50:54",mrr,0.00,free,completed
129,23,"2025-03-27 14:27:10",mrr,0.00,free,pending
130,23,"2025-06-05 04:13:49",mrr,0.00,free,failed
131,24,"2025-03-08 07:05:46",mrr,99.00,professional,failed
132,24,"2025-08-26 01:37:03",refund,-33.00,professional,completed
133,24,"2025-03-04 22:55:31",mrr,99.00,professional,failed
134,24,"2025-03-07 12:11:47",mrr,99.00,professional,failed
135,25,"2024-12-31 21:46:06",refund,-171.00,enterprise,pending
136,25,"2024-04-16 01:41:22",refund,-243.00,enterprise,failed
137,25,"2025-04-08 18:38:14",refund,-64.00,enterprise,failed
138,25,"2025-01-29 08:52:58",one_time,273.00,enterprise,completed
139,25,"2024-04-10 14:21:08",refund,-184.00,enterprise,failed
140,26,"2025-08-15 18:26:29",mrr,0.00,free,completed
141,26,"2025-01-27 13:13:54",one_time,44.00,free,completed
142,27,"2025-04-11 18:53:23",mrr,299.00,enterprise,failed
143,27,"2024-10-18 23:26:09",one_time,30.00,enterprise,completed
144,27,"2024-11-11 14:16:00",mrr,299.00,enterprise,completed
145,27,"2025-01-25 02:39:19",refund,-169.00,enterprise,pending
146,27,"2025-08-23 13:27:48",mrr,299.00,enterprise,failed
147,27,"2025-05-30 15:26:59",one_time,41.00,enterprise,completed
148,28,"2025-04-07 16:34:59",mrr,0.00,free,completed
149,28,"2025-08-08 10:49:18",mrr,0.00,free,completed
150,28,"2025-08-28 10:19:32",mrr,0.00,free,failed
151,28,"2025-06-05 23:30:37",mrr,0.00,free,completed
152,28,"2025-07-07 10:33:46",mrr,0.00,free,failed
153,28,"2025-02-12 05:41:31",mrr,0.00,free,completed
154,28,"2025-03-04 15:51:43",mrr,0.00,free,completed
155,28,"2025-11-28 21:22:41",mrr,0.00,free,failed
156,29,"2024-09-26 14:39:44",mrr,99.00,professional,failed
157,29,"2024-10-22 09:00:24",refund,-93.00,professional,completed
158,29,"2025-06-12 05:23:26",mrr,99.00,professional,completed
159,29,"2024-11-08 10:17:38",refund,-67.00,professional,completed
160,29,"2024-12-18 17:11:36",one_time,51.00,professional,completed
161,29,"2025-10-03 09:47:01",one_time,224.00,professional,completed
162,30,"2025-10-27 01:55:45",one_time,43.00,starter,pending
163,30,"2025-06-08 04:19:22",one_time,465.00,starter,completed
164,30,"2025-03-27 18:00:02",refund,-11.00,starter,failed
165,30,"2025-02-07 03:03:41",mrr,29.00,starter,completed
166,30,"2025-07-12 17:48:49",mrr,29.00,starter,completed
167,30,"2025-05-11 07:43:14",mrr,29.00,starter,completed
168,30,"2025-05-28 18:05:00",refund,-24.00,starter,pending
169,31,"2025-11-26 12:24:37",mrr,29.00,starter,failed
170,31,"2025-11-04 18:22:17",one_time,303.00,starter,completed
171,31,"2025-10-27 09:16:48",one_time,41.00,starter,completed
172,31,"2025-10-26 03:21:39",refund,-19.00,starter,completed
173,32,"2024-11-04 10:28:47",refund,-156.00,enterprise,completed
174,32,"2025-01-06 15:01:31",one_time,10.00,enterprise,completed
175,32,"2024-08-09 11:56:57",mrr,299.00,enterprise,completed
176,32,"2024-04-15 02:13:15",mrr,299.00,enterprise,completed
177,32,"2025-02-14 10:13:18",refund,-293.00,enterprise,completed
178,33,"2025-08-21 16:18:07",one_time,481.00,professional,pending
179,33,"2025-09-21 17:03:26",refund,-27.00,professional,completed
180,34,"2025-08-20 22:47:05",one_time,24.00,enterprise,completed
181,34,"2025-10-14 21:18:22",one_time,261.00,enterprise,failed
182,34,"2025-07-05 09:33:10",refund,-143.00,enterprise,failed
183,34,"2025-10-10 22:37:12",mrr,299.00,enterprise,failed
184,34,"2025-04-20 19:32:24",mrr,299.00,enterprise,completed
185,35,"2023-07-16 09:36:27",mrr,0.00,free,pending
186,35,"2024-01-08 21:17:07",one_time,18.00,free,failed
187,36,"2025-06-15 19:34:21",refund,-19.00,starter,completed
188,36,"2025-05-24 01:51:41",mrr,29.00,starter,failed
189,36,"2025-07-10 10:16:03",one_time,470.00,starter,completed
190,36,"2025-10-02 03:06:03",refund,-12.00,starter,completed
191,36,"2025-10-04 11:45:54",one_time,184.00,starter,completed
192,36,"2025-10-16 12:41:56",refund,-13.00,starter,completed
193,37,"2024-12-28 10:02:49",mrr,29.00,starter,completed
194,38,"2025-06-29 20:08:38",mrr,299.00,enterprise,pending
195,38,"2025-02-11 14:42:34",one_time,206.00,enterprise,failed
196,38,"2024-12-17 19:13:45",mrr,299.00,enterprise,failed
197,38,"2025-04-04 03:49:48",mrr,299.00,enterprise,failed
198,38,"2025-01-07 18:09:46",mrr,299.00,enterprise,completed
199,38,"2025-06-18 19:23:23",mrr,299.00,enterprise,completed
200,38,"2025-09-15 16:44:10",one_time,438.00,enterprise,failed
201,38,"2024-08-27 13:31:11",refund,-190.00,enterprise,pending
202,39,"2025-09-04 06:47:16",refund,-23.00,professional,completed
203,39,"2025-11-04 17:16:02",one_time,74.00,professional,completed
204,39,"2025-11-14 23:34:14",mrr,99.00,professional,completed
205,39,"2025-07-20 09:02:47",refund,-61.00,professional,pending
206,39,"2025-10-27 22:53:46",mrr,99.00,professional,completed
207,39,"2025-11-20 18:47:58",mrr,99.00,professional,pending
208,39,"2025-08-25 17:49:32",refund,-17.00,professional,completed
209,40,"2025-07-15 14:45:08",one_time,88.00,enterprise,completed
210,40,"2024-11-25 08:40:00",mrr,299.00,enterprise,completed
211,40,"2024-07-03 01:21:16",mrr,299.00,enterprise,failed
212,40,"2025-01-11 17:06:33",mrr,299.00,enterprise,failed
213,40,"2024-06-21 04:50:52",one_time,489.00,enterprise,failed
214,41,"2025-10-27 10:39:29",mrr,0.00,free,completed
215,41,"2025-05-31 20:28:13",mrr,0.00,free,completed
216,41,"2024-10-13 04:29:22",mrr,0.00,free,completed
217,41,"2025-06-20 21:10:19",mrr,0.00,free,pending
218,41,"2025-08-07 04:24:36",mrr,0.00,free,completed
219,41,"2025-01-08 18:17:56",one_time,21.00,free,completed
220,42,"2024-08-16 23:40:52",mrr,0.00,free,completed
221,42,"2025-01-30 00:19:21",mrr,0.00,free,completed
222,42,"2025-02-03 17:04:06",mrr,0.00,free,pending
223,42,"2025-04-17 21:59:16",mrr,0.00,free,completed
224,42,"2024-12-28 03:17:05",mrr,0.00,free,failed
225,42,"2025-08-02 19:30:31",mrr,0.00,free,failed
226,43,"2023-06-10 01:47:42",refund,-292.00,enterprise,completed
227,43,"2025-07-09 20:51:31",one_time,171.00,enterprise,completed
228,44,"2025-10-06 08:23:08",one_time,371.00,enterprise,completed
229,44,"2025-11-08 05:42:33",one_time,289.00,enterprise,pending
230,44,"2025-04-19 01:56:19",refund,-239.00,enterprise,completed
231,45,"2025-04-13 08:47:44",refund,-15.00,starter,pending
232,45,"2025-06-03 01:47:03",refund,-28.00,starter,completed
233,46,"2024-08-03 21:58:18",refund,-91.00,professional,completed
234,46,"2024-09-22 19:33:07",one_time,39.00,professional,pending
235,46,"2024-12-30 19:26:02",refund,-84.00,professional,completed
236,46,"2025-01-20 20:34:52",refund,-23.00,professional,completed
237,46,"2025-07-15 03:57:45",one_time,161.00,professional,completed
238,46,"2025-06-18 22:48:36",refund,-47.00,professional,failed
239,47,"2024-06-17 12:34:23",mrr,299.00,enterprise,failed
240,47,"2025-11-26 09:28:08",one_time,91.00,enterprise,completed
241,47,"2025-01-21 08:39:41",one_time,147.00,enterprise,completed
242,47,"2025-01-07 23:42:22",refund,-201.00,enterprise,completed
243,47,"2024-08-15 06:02:29",mrr,299.00,enterprise,completed
244,48,"2024-03-18 02:50:56",one_time,183.00,professional,pending
245,48,"2025-09-06 17:43:19",one_time,407.00,professional,failed
246,48,"2024-09-29 15:14:18",one_time,97.00,professional,pending
247,48,"2024-05-15 06:24:18",one_time,80.00,professional,completed
248,48,"2025-11-12 23:57:46",one_time,387.00,professional,completed
249,48,"2024-12-12 07:40:46",mrr,99.00,professional,completed
250,48,"2024-05-09 04:58:12",mrr,99.00,professional,completed
251,49,"2025-07-27 23:41:59",refund,-23.00,starter,pending
252,49,"2025-08-26 04:00:24",mrr,29.00,starter,failed
253,50,"2025-08-03 08:41:11",refund,-27.00,starter,completed
254,50,"2025-01-20 18:50:44",refund,-11.00,starter,completed
255,50,"2025-02-11 01:39:00",one_time,462.00,starter,completed
256,50,"2025-08-28 13:28:58",one_time,324.00,starter,completed
257,50,"2024-11-07 21:58:32",one_time,223.00,starter,failed
258,50,"2025-05-02 00:24:40",refund,-17.00,starter,completed
259,50,"2025-02-16 14:15:51",refund,-17.00,starter,completed
260,51,"2024-12-17 17:57:40",one_time,419.00,starter,failed
261,51,"2024-09-04 19:03:48",refund,-23.00,starter,failed
262,51,"2024-08-02 19:43:04",one_time,119.00,starter,completed
263,51,"2024-06-05 07:57:19",one_time,424.00,starter,completed
264,52,"2025-09-21 00:20:03",refund,-54.00,professional,completed
265,52,"2025-10-07 06:02:54",one_time,416.00,professional,failed
266,53,"2025-05-05 10:58:12",mrr,29.00,starter,completed
267,53,"2025-07-15 11:52:31",mrr,29.00,starter,completed
268,53,"2025-03-21 07:22:04",mrr,29.00,starter,failed
269,53,"2025-09-13 18:14:21",refund,-24.00,starter,completed
270,53,"2025-10-14 04:29:36",one_time,410.00,starter,completed
271,53,"2025-01-03 20:12:43",one_time,135.00,starter,completed
272,53,"2025-10-10 20:11:56",mrr,29.00,starter,failed
273,53,"2025-02-17 18:29:07",one_time,290.00,starter,completed
274,54,"2025-07-20 14:54:31",refund,-126.00,enterprise,completed
275,54,"2025-11-08 08:35:28",mrr,299.00,enterprise,completed
276,54,"2025-02-12 07:44:39",refund,-235.00,enterprise,pending
277,54,"2024-12-22 22:27:18",refund,-212.00,enterprise,completed
278,54,"2025-05-31 19:36:06",refund,-63.00,enterprise,completed
279,54,"2024-10-27 23:16:43",one_time,425.00,enterprise,pending
280,54,"2024-12-17 16:24:26",mrr,299.00,enterprise,completed
281,55,"2025-08-13 17:40:08",one_time,152.00,professional,completed
282,55,"2025-09-12 07:03:07",mrr,99.00,professional,completed
283,56,"2023-06-11 12:53:14",mrr,0.00,free,failed
284,56,"2024-10-25 16:00:00",mrr,0.00,free,completed
285,56,"2024-04-30 04:55:28",mrr,0.00,free,pending
286,57,"2025-05-09 04:19:01",mrr,299.00,enterprise,completed
287,57,"2025-11-20 09:08:06",refund,-132.00,enterprise,completed
288,57,"2025-04-27 16:46:35",refund,-105.00,enterprise,pending
289,57,"2023-09-04 01:09:00",mrr,299.00,enterprise,failed
290,58,"2025-07-03 13:41:41",refund,-25.00,professional,completed
291,58,"2025-04-16 22:25:09",mrr,99.00,professional,completed
292,59,"2025-05-14 02:19:32",one_time,175.00,professional,completed
293,59,"2025-04-27 13:09:31",mrr,99.00,professional,failed
294,59,"2024-04-27 01:41:41",mrr,99.00,professional,pending
295,59,"2025-07-14 13:34:21",one_time,178.00,professional,failed
296,59,"2024-06-13 11:13:07",refund,-28.00,professional,completed
297,59,"2025-05-31 13:23:56",mrr,99.00,professional,completed
298,59,"2025-07-05 19:16:57",one_time,102.00,professional,completed
299,60,"2025-09-15 15:57:51",mrr,0.00,free,completed
300,60,"2025-09-29 00:19:48",mrr,0.00,free,completed
301,60,"2025-09-13 21:55:06",mrr,0.00,free,completed
302,61,"2024-06-23 00:03:04",mrr,0.00,free,completed
303,61,"2023-08-01 12:57:30",mrr,0.00,free,completed
304,61,"2023-08-30 10:09:36",mrr,0.00,free,completed
305,61,"2025-05-12 05:31:26",mrr,0.00,free,completed
306,62,"2023-05-09 21:42:35",one_time,466.00,professional,completed
307,62,"2025-11-26 09:06:32",refund,-58.00,professional,completed
308,62,"2024-09-01 00:39:42",refund,-52.00,professional,completed
309,62,"2024-02-28 07:18:28",mrr,99.00,professional,completed
310,62,"2023-04-24 10:17:42",one_time,56.00,professional,completed
311,62,"2023-03-31 06:27:16",mrr,99.00,professional,completed
312,63,"2025-07-13 03:51:15",mrr,99.00,professional,pending
313,63,"2025-08-03 23:47:00",mrr,99.00,professional,completed
314,64,"2023-03-07 01:53:59",refund,-59.00,enterprise,completed
315,64,"2025-02-25 11:57:10",refund,-237.00,enterprise,failed
316,64,"2024-08-25 05:17:18",mrr,299.00,enterprise,completed
317,64,"2023-09-07 08:35:51",mrr,299.00,enterprise,completed
318,64,"2025-06-12 20:46:58",one_time,316.00,enterprise,failed
319,64,"2024-08-06 02:30:27",mrr,299.00,enterprise,completed
320,65,"2025-04-30 23:54:36",one_time,198.00,starter,pending
321,65,"2024-09-13 16:49:37",refund,-28.00,starter,failed
322,65,"2025-05-17 20:11:42",refund,-19.00,starter,pending
323,65,"2023-08-12 08:11:16",mrr,29.00,starter,pending
324,66,"2024-11-28 23:15:37",one_time,221.00,professional,completed
325,66,"2025-04-01 14:17:02",one_time,399.00,professional,completed
326,66,"2025-10-02 23:00:53",refund,-57.00,professional,completed
327,66,"2024-10-18 06:16:24",refund,-18.00,professional,completed
328,66,"2023-08-06 03:54:44",refund,-83.00,professional,completed
329,66,"2024-05-01 06:48:22",refund,-45.00,professional,completed
330,67,"2025-10-06 01:05:09",refund,-12.00,starter,failed
331,67,"2025-03-17 13:55:10",refund,-22.00,starter,pending
332,67,"2024-06-19 00:00:18",mrr,29.00,starter,failed
333,67,"2025-08-26 03:42:45",one_time,432.00,starter,pending
334,68,"2025-10-15 20:17:00",one_time,262.00,starter,failed
335,68,"2025-09-20 15:33:23",mrr,29.00,starter,pending
336,68,"2025-09-29 03:34:11",one_time,245.00,starter,completed
337,68,"2025-09-21 18:43:08",one_time,494.00,starter,completed
338,68,"2025-09-14 11:49:37",mrr,29.00,starter,completed
339,68,"2025-09-22 23:25:21",mrr,29.00,starter,pending
340,69,"2025-11-20 11:57:10",refund,-44.00,professional,completed
341,69,"2025-11-19 06:21:59",one_time,254.00,professional,completed
342,69,"2025-11-29 17:54:30",refund,-15.00,professional,completed
343,70,"2024-11-19 21:52:05",refund,-24.00,starter,completed
344,70,"2025-05-02 23:43:42",mrr,29.00,starter,completed
345,70,"2025-04-27 03:19:27",mrr,29.00,starter,pending
346,70,"2025-05-04 07:10:09",refund,-11.00,starter,pending
347,70,"2025-03-28 22:47:50",mrr,29.00,starter,failed
348,70,"2025-04-12 15:58:42",refund,-11.00,starter,failed
349,70,"2025-03-27 02:27:10",one_time,144.00,starter,pending
350,71,"2025-09-01 15:28:38",refund,-37.00,professional,completed
351,72,"2025-10-03 19:59:44",refund,-24.00,starter,completed
352,72,"2025-07-05 08:05:09",refund,-17.00,starter,completed
353,72,"2024-08-07 03:50:24",one_time,160.00,starter,pending
354,73,"2024-10-02 11:17:01",mrr,0.00,free,pending
355,73,"2025-06-10 12:09:26",mrr,0.00,free,completed
356,74,"2024-07-23 06:20:03",mrr,0.00,free,pending
357,74,"2025-01-30 18:42:35",mrr,0.00,free,completed
358,74,"2025-04-02 15:49:15",mrr,0.00,free,completed
359,74,"2025-06-21 05:57:23",mrr,0.00,free,pending
360,74,"2024-12-14 07:30:49",mrr,0.00,free,pending
361,74,"2025-02-06 18:45:39",mrr,0.00,free,completed
362,75,"2023-11-15 05:44:18",mrr,299.00,enterprise,completed
363,75,"2024-01-23 18:54:06",refund,-277.00,enterprise,failed
364,76,"2025-05-31 19:00:50",mrr,299.00,enterprise,completed
365,76,"2024-11-19 12:38:15",refund,-209.00,enterprise,completed
366,76,"2024-10-31 04:45:33",mrr,299.00,enterprise,completed
367,77,"2025-01-24 15:18:23",refund,-292.00,enterprise,completed
368,77,"2024-12-13 10:30:29",one_time,179.00,enterprise,completed
369,77,"2024-09-26 22:14:26",one_time,452.00,enterprise,completed
370,78,"2024-10-18 07:05:35",one_time,311.00,enterprise,pending
371,78,"2024-10-04 02:43:57",refund,-74.00,enterprise,completed
372,78,"2024-10-07 03:56:27",mrr,299.00,enterprise,completed
373,78,"2025-10-22 13:16:05",one_time,487.00,enterprise,completed
374,78,"2025-01-12 08:24:22",mrr,299.00,enterprise,completed
375,78,"2024-10-01 06:59:35",refund,-161.00,enterprise,completed
376,78,"2024-08-12 09:42:26",one_time,401.00,enterprise,completed
377,78,"2025-06-27 17:48:49",one_time,394.00,enterprise,completed
378,79,"2025-08-04 13:02:28",mrr,0.00,free,completed
379,79,"2025-10-04 22:56:36",one_time,13.00,free,failed
380,80,"2025-08-08 13:38:33",mrr,299.00,enterprise,completed
381,80,"2025-05-23 16:42:37",mrr,299.00,enterprise,completed
382,80,"2024-03-24 09:41:27",mrr,299.00,enterprise,pending
383,80,"2025-05-12 12:25:44",mrr,299.00,enterprise,completed
384,80,"2023-11-22 13:23:55",one_time,99.00,enterprise,failed
385,81,"2025-10-29 11:42:22",mrr,29.00,starter,completed
386,81,"2025-07-13 02:40:50",one_time,133.00,starter,completed
387,81,"2025-09-26 21:00:23",refund,-18.00,starter,completed
388,81,"2025-11-09 07:59:32",one_time,56.00,starter,completed
389,81,"2025-07-30 15:58:18",refund,-12.00,starter,failed
390,81,"2025-07-25 00:53:40",one_time,238.00,starter,completed
391,81,"2025-06-27 18:26:04",mrr,29.00,starter,completed
392,81,"2025-08-22 23:26:26",refund,-20.00,starter,completed
393,82,"2025-09-21 20:12:07",mrr,299.00,enterprise,failed
394,82,"2025-10-20 07:53:05",refund,-114.00,enterprise,pending
395,82,"2025-10-26 02:36:07",one_time,458.00,enterprise,pending
396,82,"2025-04-02 20:05:51",one_time,273.00,enterprise,completed
397,82,"2025-08-13 10:40:14",refund,-60.00,enterprise,completed
398,82,"2025-10-03 01:38:49",mrr,299.00,enterprise,completed
399,83,"2025-11-22 13:05:55",mrr,0.00,free,pending
400,83,"2025-09-28 12:46:39",one_time,39.00,free,failed
401,84,"2025-09-27 04:16:52",mrr,0.00,free,pending
402,84,"2025-11-27 14:53:58",mrr,0.00,free,completed
403,84,"2025-06-03 02:36:42",mrr,0.00,free,failed
404,84,"2025-06-15 01:43:17",one_time,47.00,free,failed
405,84,"2025-07-26 09:40:43",mrr,0.00,free,failed
406,85,"2025-02-26 16:39:43",mrr,0.00,free,completed
407,85,"2024-05-31 05:23:34",mrr,0.00,free,completed
408,86,"2025-07-21 08:24:32",mrr,29.00,starter,failed
409,86,"2025-08-07 12:06:27",mrr,29.00,starter,pending
410,86,"2025-11-07 06:03:33",refund,-18.00,starter,completed
411,87,"2025-05-24 04:57:34",mrr,299.00,enterprise,failed
412,87,"2025-06-26 14:09:03",mrr,299.00,enterprise,completed
413,87,"2025-08-14 01:51:31",one_time,76.00,enterprise,completed
414,87,"2025-11-24 20:54:44",one_time,130.00,enterprise,failed
415,87,"2025-11-01 02:57:59",refund,-110.00,enterprise,completed
416,87,"2025-07-20 11:57:38",one_time,40.00,enterprise,completed
417,88,"2024-05-20 07:21:21",mrr,0.00,free,completed
418,88,"2024-04-13 10:31:23",mrr,0.00,free,pending
419,88,"2025-09-09 13:23:02",mrr,0.00,free,failed
420,88,"2024-09-19 12:36:35",one_time,17.00,free,completed
421,88,"2024-07-17 03:49:45",mrr,0.00,free,completed
422,88,"2024-08-09 01:53:27",mrr,0.00,free,failed
423,89,"2024-02-09 14:44:41",refund,-104.00,enterprise,completed
424,89,"2025-06-29 11:16:21",mrr,299.00,enterprise,completed
425,89,"2024-06-14 19:21:29",refund,-289.00,enterprise,completed
426,89,"2024-07-12 03:32:28",one_time,298.00,enterprise,pending
427,89,"2024-03-03 11:30:51",refund,-90.00,enterprise,completed
428,89,"2025-06-04 13:31:06",one_time,197.00,enterprise,completed
429,90,"2025-10-07 00:01:22",mrr,0.00,free,completed
430,90,"2024-09-02 21:22:14",mrr,0.00,free,completed
431,90,"2025-04-25 00:42:51",mrr,0.00,free,failed
