id,user_id,metric_date,login_count,feature_usage,features_used_count,support_tickets_opened,support_tickets_resolved,session_duration_minutes
90,27,2025-11-15,43,"reports,notifications,collaboration,search,automation,export",6,1,0,126.0
91,27,2025-06-12,17,"integrations,export,integrations,reports,reports",5,1,1,99.0
92,28,2025-04-16,4,"dashboard,reports",2,2,1,21.0
93,28,2025-07-11,3,"analytics,reports,export",3,4,2,5.0
94,28,2025-08-17,5,"analytics,collaboration,notifications,integrations",4,1,1,19.0
95,28,2025-03-06,4,"automation",1,5,4,14.0
96,28,2025-09-30,0,"export,integrations,collaboration,reports,integrations,analytics,analytics",7,5,5,16.0
97,28,2024-12-17,2,"collaboration",1,5,1,8.0
98,29,2025-11-30,2,"export,notifications,collaboration,export,analytics,automation,api",7,3,3,3.0
99,29,2024-09-12,0,"api",1,4,1,7.0
100,29,2025-05-30,5,"export,analytics,automation,api,dashboard,reports",6,5,0,5.0
101,29,2024-03-21,4,"dashboard,dashboard,dashboard,reports",4,5,0,15.0
102,30,2025-09-24,34,"analytics",1,4,2,156.0
103,30,2025-06-04,6,"notifications,automation,notifications,automation,integrations,reports,reports",7,4,0,17.0
104,30,2025-05-24,33,"dashboard,api,notifications",3,3,2,6.0
105,30,2025-07-22,44,"integrations,dashboard,api,notifications",4,3,2,17.0
106,30,2025-10-21,46,"dashboard,search,dashboard,collaboration,api,analytics,reports",7,2,1,123.0
107,31,2025-04-17,47,"analytics,export,integrations,reports",4,5,1,89.0
108,31,2025-06-30,13,"search,notifications,analytics,integrations",4,5,3,112.0
109,31,2023-09-18,12,"collaboration,analytics",2,0,0,175.0
110,31,2024-10-12,21,"api,api,automation,analytics,export",5,4,2,167.0
111,32,2025-11-14,5,"analytics,export,notifications,dashboard,collaboration",5,2,0,4.0
112,32,2025-07-09,1,"search",1,5,2,15.0
113,32,2025-04-01,2,"reports,dashboard",2,1,1,6.0
114,32,2025-07-14,3,"reports,notifications,search,automation,reports,automation",6,0,0,26.0
115,33,2024-12-14,2,"export",1,2,0,22.0
116,33,2024-10-10,3,"reports,collaboration,reports",3,4,3,11.0
117,33,2025-11-22,1,"api",1,5,2,4.0
118,33,2024-08-28,0,"api",1,2,2,24.0
119,34,2023-03-31,24,"dashboard,search,collaboration",3,1,1,78.0
120,34,2023-04-21,13,"analytics",1,4,4,42.0
121,34,2025-01-01,46,"collaboration,reports,search",3,0,0,72.0
122,35,2025-08-18,48,"search,search,analytics,analytics,export",5,1,0,119.0
123,35,2025-09-18,3,"search,collaboration,search",3,2,2,76.0
124,35,2025-08-21,20,"automation,dashboard,search,automation,api,export",6,5,1,24.0
125,36,2025-07-18,42,"dashboard,dashboard,automation,export,analytics,collaboration",6,4,2,101.0
126,36,2025-07-28,20,"search,search",2,5,5,130.0
127,36,2024-05-22,6,"dashboard,export,reports,integrations,search",5,1,0,20.0
128,37,2025-08-14,45,"analytics,integrations,dashboard,collaboration",4,3,3,110.0
129,37,2024-08-17,49,"collaboration,dashboard,collaboration",3,4,3,36.0
130,37,2024-04-09,31,"export,api,analytics,api,notifications,notifications",6,0,0,134.0
131,37,2023-09-22,39,"automation,dashboard,export",3,1,1,106.0
132,37,2024-08-02,19,"reports,integrations,dashboard,collaboration,collaboration",5,5,3,100.0
133,38,2025-10-18,3,"search,dashboard",2,0,0,26.0
134,38,2025-09-08,5,"reports,collaboration,analytics,search,integrations,automation,notifications",7,2,0,2.0
135,38,2025-11-07,3,"automation,automation,integrations,dashboard,search,reports,dashboard",7,1,1,19.0
136,38,2025-10-24,0,"integrations,notifications",2,1,0,21.0
137,39,2024-10-29,41,"integrations,collaboration,search,api,automation",5,4,2,160.0
138,39,2024-08-24,29,"api,dashboard,export,integrations,reports,integrations",6,5,0,113.0
139,39,2025-01-30,49,"integrations,integrations,notifications,analytics,dashboard,dashboard",6,5,3,51.0
140,40,2023-12-20,4,"export,analytics",2,5,1,11.0
141,40,2025-01-08,4,"notifications",1,1,1,20.0
142,40,2024-09-10,4,"notifications,api,integrations,analytics",4,3,3,15.0
143,41,2024-08-17,37,"export,api,integrations",3,5,1,174.0
144,41,2024-05-09,45,"automation,dashboard,integrations,api,automation,api,export",7,5,1,131.0
145,41,2025-09-05,30,"collaboration,api",2,1,0,162.0
146,41,2025-11-15,22,"automation,search,export,search",4,2,1,8.0
147,42,2025-09-21,43,"export,automation",2,5,3,6.0
148,42,2025-09-05,25,"dashboard,reports,search",3,3,3,159.0
149,43,2025-07-19,0,"dashboard,dashboard,collaboration,api",4,5,0,20.0
150,43,2023-09-04,5,"analytics,integrations,collaboration,dashboard",4,5,4,15.0
151,43,2025-03-23,1,"export,integrations,analytics,dashboard",4,0,0,30.0
152,44,2025-03-07,26,"api,search,notifications,notifications,export",5,3,2,93.0
153,44,2023-07-27,9,"notifications,api",2,4,3,54.0
154,44,2023-07-01,15,"notifications,api,dashboard,integrations",4,3,1,44.0
155,45,2025-02-28,3,"export",1,5,3,6.0
156,45,2025-03-02,1,"dashboard,api,reports",3,1,1,21.0
157,45,2025-06-01,5,"export,reports,reports",3,0,0,9.0
158,45,2025-02-12,1,"automation,export",2,4,4,6.0
159,45,2025-08-16,0,"api,integrations,api,api,reports",5,2,2,14.0
160,46,2025-10-28,50,"api,integrations,api,search,notifications,integrations",6,0,0,135.0
161,46,2025-10-28,9,"integrations,notifications",2,5,0,113.0
162,47,2024-11-06,3,"notifications,reports",2,2,1,6.0
163,47,2025-07-19,3,"automation,dashboard,automation,automation,api,automation,export",7,5,4,11.0
164,47,2024-08-10,2,"automation,reports,analytics,integrations",4,0,0,9.0
165,48,2025-09-21,8,"search,automation,dashboard,analytics,automation,analytics",6,2,1,120.0
166,48,2025-09-14,18,"api,notifications,integrations",3,2,2,117.0
167,48,2025-10-30,45,"collaboration",1,4,2,90.0
168,48,2025-09-24,34,"export,integrations,integrations",3,0,0,92.0
169,48,2025-10-27,42,"collaboration,export,search,api,search",5,1,1,49.0
170,48,2025-11-10,31,"notifications,integrations,analytics,notifications,dashboard,reports,export",7,1,1,67.0
171,49,2025-09-16,0,"collaboration,collaboration,export,export",4,4,4,22.0
172,50,2025-03-17,42,"collaboration,export,dashboard,analytics,reports,dashboard,api",7,1,1,15.0
173,50,2025-06-20,41,"api,export,export,export,analytics,search",6,3,3,79.0
174,50,2025-08-08,49,"collaboration",1,4,4,131.0
175,51,2025-06-25,4,"integrations,analytics,notifications,search,notifications,collaboration,automation",7,0,0,13.0
176,52,2024-08-25,1,"analytics,reports,dashboard",3,5,5,23.0
177,52,2024-12-11,3,"reports,export,collaboration,search,integrations,dashboard",6,2,2,10.0
178,53,2024-02-23,1,"reports,dashboard,api,api,analytics,automation,analytics",7,4,1,18.0
179,53,2024-07-16,2,"notifications",1,5,5,13.0
180,54,2025-11-14,38,"collaboration,analytics,collaboration,analytics,collaboration,automation",6,2,2,120.0
181,54,2025-08-10,14,"integrations,search,export,export",4,4,3,11.0
182,55,2024-12-18,39,"reports,export",2,5,0,35.0
183,55,2025-09-03,33,"automation",1,4,2,61.0
184,55,2024-07-23,2,"notifications,collaboration",2,1,0,31.0
185,55,2024-08-13,48,"integrations,dashboard,export,integrations,search,api,notifications",7,3,3,20.0
186,55,2024-10-05,19,"export,analytics,api,export",4,2,0,111.0
187,56,2025-11-09,5,"api",1,0,0,10.0
188,56,2025-03-16,1,"dashboard,reports,integrations",3,5,2,25.0
189,57,2025-10-04,4,"notifications",1,1,1,3.0
190,57,2025-11-02,2,"analytics",1,0,0,10.0
191,57,2025-09-07,4,"automation,api",2,1,0,5.0
192,57,2025-07-10,4,"reports,dashboard,export,api,reports,api,collaboration",7,2,0,8.0
193,58,2024-03-31,1,"collaboration,search,integrations",3,5,3,2.0
194,58,2023-07-14,4,"automation,export,reports",3,3,1,21.0
195,58,2023-05-11,5,"notifications,dashboard,analytics,search,automation,automation",6,5,5,24.0
196,58,2025-06-22,3,"integrations,collaboration,search,analytics",4,4,4,7.0
197,58,2025-07-01,1,"dashboard,api,api",3,4,4,20.0
198,58,2025-03-11,0,"integrations,search,search,notifications",4,2,2,11.0
199,59,2025-11-30,41,"api,api,reports,notifications,integrations,reports,api",7,0,0,134.0
200,59,2025-11-29,18,"notifications",1,2,2,174.0
201,59,2025-11-26,14,"reports,reports,analytics,notifications,reports",5,2,2,158.0
202,60,2024-04-10,21,"notifications,export,search,reports,collaboration,integrations,collaboration",7,4,3,51.0
203,60,2024-10-21,44,"dashboard,reports",2,1,0,81.0
204,61,2025-05-02,20,"export,notifications",2,3,1,160.0
205,61,2025-09-08,33,"collaboration,reports,collaboration,automation,search,search,search",7,2,0,156.0
206,61,2024-08-14,11,"collaboration,reports,automation,search,notifications",5,0,0,119.0
207,61,2025-02-02,2,"dashboard,integrations",2,2,0,130.0
208,61,2024-09-01,23,"export,notifications,collaboration,reports",4,1,1,142.0
209,62,2025-04-19,2,"automation,dashboard,export,integrations,search",5,4,4,6.0
210,62,2024-07-22,5,"api",1,2,2,11.0
211,62,2025-02-21,4,"analytics",1,3,3,27.0
212,63,2025-02-25,0,"api,api",2,1,0,21.0
213,63,2025-07-18,0,"automation,api,dashboard,analytics",4,1,1,15.0
214,63,2025-08-23,3,"api,search,integrations",3,2,1,15.0
215,64,2025-01-25,26,"analytics,reports,automation",3,5,1,77.0
216,64,2024-02-21,31,"analytics,collaboration,automation,integrations,notifications,reports",6,5,5,90.0
217,64,2025-05-25,9,"integrations,api,integrations,export,notifications,search,reports",7,5,0,75.0
218,64,2023-08-20,5,"dashboard,export,notifications,reports,dashboard,dashboard,notifications",7,0,0,77.0
219,64,2024-01-20,10,"collaboration,analytics,api",3,5,3,20.0
220,65,2025-09-13,8,"search,search",2,0,0,155.0
221,65,2025-09-09,1,"automation",1,2,0,7.0
222,65,2025-06-05,23,"integrations",1,1,0,111.0
223,66,2025-08-31,40,"notifications,analytics,search,integrations",4,2,1,31.0
224,66,2025-10-18,25,"notifications",1,2,0,143.0
225,66,2025-05-15,32,"dashboard,reports,notifications,analytics,search,search",6,4,3,144.0
226,66,2025-02-06,19,"export,collaboration,reports,automation,notifications,reports",6,2,0,22.0
227,66,2024-12-26,46,"reports,integrations",2,1,1,165.0
228,67,2024-11-26,47,"api",1,5,4,134.0
229,67,2024-11-06,36,"api,search,integrations,integrations",4,1,0,131.0
230,67,2025-04-27,10,"reports,search,analytics,collaboration,analytics,reports",6,3,2,148.0
231,67,2024-11-03,6,"collaboration,dashboard,analytics,notifications,collaboration",5,2,2,109.0
232,68,2025-08-02,17,"collaboration",1,4,3,60.0
233,68,2025-11-30,24,"api,analytics,automation,collaboration,search",5,1,0,9.0
234,68,2025-07-18,18,"automation,api",2,4,2,42.0
235,68,2025-09-12,23,"analytics,collaboration,api,integrations,automation",5,1,0,166.0
236,69,2025-10-20,26,"notifications,dashboard,api,dashboard",4,2,2,160.0
237,69,2025-05-23,36,"integrations,collaboration,integrations,analytics,notifications,export,search",7,4,3,110.0
238,69,2025-05-28,34,"automation,export,export,collaboration,notifications,export,notifications",7,2,0,7.0
239,69,2025-10-24,33,"analytics,dashboard,notifications,collaboration,reports,analytics",6,0,0,23.0
240,69,2025-06-11,10,"integrations,integrations,automation,automation,automation,collaboration,automation",7,5,3,9.0
241,70,2025-10-23,3,"api,integrations,reports,search,search",5,2,0,1.0
242,70,2025-08-27,5,"automation,search,analytics,automation,integrations,collaboration,dashboard",7,5,0,1.0
243,71,2023-07-23,7,"dashboard,reports,api",3,4,4,40.0
244,71,2025-10-04,30,"reports,api,export",3,0,0,82.0
245,71,2023-07-23,27,"dashboard",1,2,1,27.0
246,71,2024-02-22,12,"dashboard,export,search,analytics,notifications,notifications",6,1,0,107.0
247,71,2023-05-17,31,"api,integrations,search,notifications,notifications,search",6,2,0,151.0
248,72,2025-07-04,11,"dashboard,search,api,integrations",4,2,0,65.0
249,72,2025-09-16,30,"integrations,automation,api,automation,notifications",5,0,0,86.0
250,73,2025-01-03,28,"notifications,automation,collaboration,collaboration,export,search,reports",7,1,0,164.0
251,73,2024-11-05,29,"integrations,api",2,1,0,123.0
252,73,2024-10-04,8,"dashboard,search,notifications",3,1,1,80.0
253,73,2025-07-30,34,"search,integrations,reports,automation,search,api,integrations",7,4,0,135.0
254,74,2025-06-27,0,"api,api,export,api,automation,integrations",6,4,2,27.0
255,74,2025-10-05,5,"collaboration,export,api,dashboard",4,0,0,17.0
256,75,2023-09-04,4,"export,search,export,integrations,dashboard,automation,search",7,3,2,5.0
257,75,2024-09-04,0,"api,integrations,search,collaboration",4,0,0,3.0
258,75,2024-09-25,3,"notifications,integrations,export,api,reports,dashboard",6,2,0,26.0
259,75,2023-07-03,4,"search,reports,dashboard",3,4,2,6.0
260,75,2025-04-30,2,"integrations,dashboard,export,dashboard,export,analytics",6,3,0,7.0
261,76,2025-08-18,39,"reports,dashboard,notifications,analytics,automation,collaboration",6,5,5,163.0
262,76,2025-10-25,15,"reports,export,notifications",3,2,1,57.0
263,76,2025-11-04,14,"analytics,search,search",3,5,0,76.0
264,76,2025-08-14,36,"notifications,api,notifications,analytics,export,automation,integrations",7,1,1,170.0
265,77,2025-02-25,18,"analytics",1,4,2,34.0
266,77,2025-04-10,5,"dashboard",1,0,0,111.0
267,77,2025-07-26,19,"api,api,api",3,2,2,127.0
268,78,2025-11-22,19,"export,collaboration",2,4,3,62.0
269,78,2025-09-08,31,"collaboration",1,3,0,155.0
270,78,2025-06-24,15,"api",1,5,3,70.0
271,78,2025-08-23,42,"search,reports,automation,collaboration,api",5,0,0,118.0
272,79,2023-05-22,50,"dashboard",1,2,2,21.0
273,79,2025-11-08,12,"api,collaboration",2,4,0,148.0
274,79,2024-07-03,45,"automation,notifications,automation",3,4,2,39.0
275,79,2024-06-08,46,"collaboration,automation,automation,search",4,5,4,49.0
276,79,2023-04-29,8,"search,automation,api,api,notifications,analytics",6,2,2,123.0
277,80,2025-11-05,38,"notifications,api,export,search,collaboration",5,0,0,118.0
278,80,2025-11-28,6,"dashboard,search,search,dashboard,collaboration,notifications,export",7,5,4,139.0
279,80,2025-11-13,33,"export",1,0,0,103.0
280,80,2025-10-24,8,"search,analytics,automation,reports,analytics,notifications,reports",7,0,0,154.0
281,81,2024-09-24,11,"collaboration,reports",2,0,0,36.0
282,81,2024-05-18,33,"collaboration,integrations,search,reports",4,4,0,24.0
283,81,2025-04-23,18,"dashboard,search,notifications,collaboration,reports",5,1,0,106.0
284,82,2023-09-28,24,"api,notifications,notifications,reports",4,1,1,86.0
285,82,2024-09-20,45,"export,dashboard,search",3,2,1,53.0
286,82,2024-03-20,33,"analytics,analytics,integrations,collaboration,reports,integrations,collaboration",7,5,0,146.0
287,83,2024-07-11,3,"export",1,4,0,14.0
288,83,2025-04-03,0,"notifications,api",2,0,0,10.0
289,83,2025-05-15,3,"notifications,automation",2,4,4,24.0
290,84,2025-09-29,42,"api,api,api,notifications",4,1,1,58.0
291,84,2025-07-22,9,"reports,search,export,reports,analytics,notifications",6,4,4,19.0
292,85,2025-10-12,42,"integrations,automation,reports,integrations,reports",5,0,0,70.0
293,85,2024-10-08,36,"api,collaboration,search,integrations",4,2,2,63.0
294,85,2025-08-16,45,"search",1,0,0,81.0
295,86,2025-11-24,38,"api,automation",2,5,4,127.0
296,86,2025-09-12,31,"dashboard,dashboard,export,search",4,0,0,23.0
297,86,2025-06-23,23,"export,dashboard,automation,search,search,reports",6,0,0,178.0
298,86,2025-05-22,17,"dashboard,dashboard",2,4,0,122.0
299,86,2025-08-28,49,"export,collaboration,notifications,collaboration",4,5,2,179.0
300,87,2025-11-18,6,"automation,analytics,search,collaboration,automation,dashboard,export",7,4,1,76.0
301,87,2025-09-14,39,"reports,integrations,collaboration",3,0,0,155.0
302,87,2025-10-01,6,"analytics,notifications,api,reports",4,5,3,11.0
303,87,2025-09-11,41,"collaboration",1,1,1,114.0
304,87,2025-10-12,20,"analytics",1,1,1,95.0
305,88,2023-12-09,9,"api,notifications,export,search",4,5,2,23.0
306,88,2024-09-19,47,"notifications,integrations,collaboration",3,4,1,57.0
307,89,2025-08-09,37,"analytics,export,integrations,automation,api,notifications,api",7,4,3,103.0
308,89,2025-08-16,10,"notifications,dashboard,search,search,dashboard,search",6,1,0,81.0
309,90,2025-11-15,3,"notifications,notifications,collaboration,api,dashboard",5,5,3,19.0
310,91,2024-06-29,23,"analytics,automation,dashboard,search,reports,reports,export",7,1,1,145.0
311,91,2024-05-13,44,"export,integrations,automation,notifications,reports",5,2,1,136.0
312,91,2024-03-22,41,"collaboration,automation,notifications",3,2,0,130.0
313,91,2024-05-04,16,"export,search,export,integrations,export,api",6,5,0,34.0
314,92,2025-11-16,4,"integrations",1,2,2,20.0
315,92,2025-10-26,3,"notifications,export,api,notifications,export",5,0,0,13.0
316,92,2025-09-04,2,"automation",1,4,4,27.0
317,93,2025-08-21,0,"integrations,automation,api",3,5,4,17.0
318,93,2025-11-21,2,"notifications,dashboard,collaboration,api,dashboard,integrations,analytics",7,1,0,21.0
319,94,2024-12-04,3,"integrations,search,automation,api",4,1,1,146.0
320,94,2025-04-20,18,"automation,analytics",2,5,4,48.0
321,94,2025-02-11,34,"analytics,reports,reports,collaboration,dashboard",5,2,0,128.0
322,94,2023-12-30,33,"api,integrations",2,2,0,145.0
323,94,2023-07-09,44,"collaboration,automation,export",3,0,0,64.0
324,94,2023-11-11,14,"api,reports,analytics,collaboration",4,0,0,151.0
325,95,2025-03-09,17,"api,automation,dashboard,api,collaboration,integrations,dashboard",7,4,0,91.0
326,95,2025-04-12,3,"reports,export,analytics,api,reports,search,collaboration",7,4,4,122.0
327,95,2025-06-05,23,"notifications,export,reports,analytics,api",5,2,1,95.0
328,95,2025-09-30,19,"export,collaboration,notifications,export,integrations",5,2,2,26.0
329,96,2025-04-07,5,"notifications,notifications,integrations,api,search",5,3,2,109.0
330,96,2025-06-16,40,"notifications",1,3,2,60.0
331,96,2024-10-06,19,"search,analytics,export",3,0,0,11.0
332,97,2025-11-15,37,"dashboard,automation",2,3,1,167.0
333,97,2025-10-21,49,"api,api,integrations,notifications,search",5,0,0,46.0
334,97,2025-11-05,31,"export",1,0,0,98.0
335,97,2025-11-25,19,"dashboard,api,search",3,5,0,77.0
336,97,2025-10-17,8,"export,collaboration,collaboration,automation,analytics",5,5,3,133.0
337,98,2024-06-06,24,"integrations",1,3,3,9.0
338,98,2025-02-09,22,"analytics,dashboard,reports,collaboration,collaboration,api,collaboration",7,1,1,36.0
339,98,2024-10-24,3,"analytics,analytics,notifications,integrations,export,api,notifications",7,2,0,129.0
340,99,2024-02-28,14,"analytics,search,export,search,search,notifications",6,1,1,126.0
341,99,2025-11-28,43,"analytics,automation,reports,api,integrations,search",6,0,0,137.0
342,99,2024-03-02,36,"automation,export,search,automation",4,4,4,9.0
343,100,2025-07-04,26,"collaboration,dashboard,search",3,2,1,74.0
344,100,2025-10-09,40,"search,automation",2,4,0,120.0
345,100,2025-05-24,48,"reports,notifications,api,automation",4,3,3,149.0
346,100,2024-11-09,11,"collaboration,analytics,export",3,2,2,156.0
347,101,2025-04-26,46,"search,search,export,api",4,0,0,43.0
348,101,2025-10-13,40,"api,integrations,collaboration,search,notifications",5,5,3,9.0
349,102,2025-11-27,12,"export",1,4,4,121.0
350,102,2025-09-25,3,"dashboard,api,api,notifications,api",5,3,0,41.0
351,102,2025-10-04,30,"search,notifications,export,export,notifications,integrations,dashboard",7,2,2,178.0
352,102,2025-11-30,24,"search,integrations,reports,collaboration",4,0,0,43.0
353,102,2025-08-08,35,"search,automation,notifications,collaboration,analytics,export",6,2,1,74.0
354,102,2025-08-21,21,"automation,notifications,analytics,integrations,automation,api",6,1,0,94.0
355,103,2025-03-11,36,"api,api,notifications",3,0,0,117.0
356,103,2025-09-15,22,"api,collaboration,collaboration",3,5,1,108.0
357,104,2025-09-15,1,"analytics,notifications,notifications,reports,reports,collaboration",6,1,0,17.0
358,104,2025-08-26,0,"automation,export,reports,notifications,api",5,3,3,18.0
359,105,2024-07-24,0,"export,search,api,analytics,reports",5,1,1,4.0
360,106,2025-09-22,5,"dashboard,dashboard,collaboration,reports,api",5,2,0,12.0
361,106,2025-09-06,5,"export,automation,api,export,export",5,5,5,20.0
362,107,2025-03-29,32,"integrations,integrations",2,3,3,117.0
363,107,2024-10-06,12,"analytics,analytics",2,1,0,130.0
364,107,2025-06-25,26,"api,analytics,dashboard,reports,api",5,3,1,173.0
365,107,2024-12-24,6,"dashboard,export,export",3,1,1,157.0
366,107,2025-03-27,21,"dashboard,reports,search,api,dashboard",5,2,0,177.0
367,107,2025-09-11,18,"search,notifications,automation,dashboard,reports",5,4,0,84.0
368,108,2024-11-23,21,"integrations",1,4,4,125.0
369,108,2024-02-01,30,"notifications,export,api",3,0,0,55.0
370,108,2025-09-26,2,"collaboration,api",2,3,2,14.0
371,108,2025-06-02,14,"reports,dashboard,automation",3,5,1,85.0
372,109,2025-11-18,2,"dashboard,api,search,reports",4,1,1,10.0
